number_wins,number_losses,number_pushes,number_blackjack,house_advantage_%,end_tokens,max_tokens,min_tokens,average_tokens,total_profit,total_bets,average_return_per_hand,end_tokens_without_card_counting,min_tokens_without_card_counting
446,482,92,32,3.525954946131244,6800.0,11900.0,6800.0,9289.373163565133,-3200.0,133700.0,-0.02393418100224383,8000.0,6650.0
412,470,88,35,5.9732234809474765,0.0,12050.0,0.0,4488.311019567456,-10000.0,156675.0,-0.06382639221318015,5950.0,5550.0
469,490,70,37,2.0388349514563107,13500.0,13700.0,5850.0,9438.543689320388,3500.0,138400.0,0.025289017341040464,9750.0,6750.0
477,462,87,30,-1.4605647517039921,15600.0,16900.0,6900.0,12125.657254138267,5600.0,162000.0,0.0345679012345679,13000.0,8600.0
208,287,47,14,14.548802946593002,0.0,10600.0,0.0,5711.187845303867,-10000.0,69775.0,-0.14331780723754928,2800.0,2800.0
443,475,104,42,3.1280547409579667,11675.0,12500.0,8325.0,10613.685239491691,1675.0,131300.0,0.012757044935262756,8900.0,7550.0
438,499,88,33,5.9454191033138395,9975.0,15375.0,8575.0,11669.37134502924,-25.0,149800.0,-0.00016688918558077436,5550.0,4850.0
462,482,83,28,1.9455252918287937,13675.0,17225.0,9100,13891.415369649805,3675.0,135200.0,0.027181952662721894,9400.0,9100
448,491,85,39,4.195121951219512,8900.0,17175.0,7800.0,13171.634146341463,-1100.0,163250.0,-0.006738131699846861,7650.0,6850.0
441,492,90,36,4.98046875,11325.0,12800.0,6575.0,9695.01953125,1325.0,139000.0,0.009532374100719424,6700.0,4850.0
433,505,97,34,6.94980694980695,5300.0,12325.0,4950.0,8291.916023166023,-4700.0,146300.0,-0.03212576896787423,4500.0,4150.0
474,465,90,43,-0.8737864077669903,19275.0,19275.0,8650.0,14027.766990291262,9275.0,144350.0,0.06425355039833737,13050.0,9250.0
469,474,79,39,0.4887585532746823,20375.0,20925.0,7950.0,13687.267839687194,10375.0,144750.0,0.07167530224525043,11450.0,7750.0
444,480,99,33,3.515625,8775.0,13025.0,6625.0,9444.2626953125,-1225.0,145600.0,-0.008413461538461538,8050.0,7150.0
458,480,79,37,2.161100196463654,16375.0,18825.0,8700.0,13702.357563850688,6375.0,137450.0,0.04638050200072754,9650.0,8350.0
454,464,104,35,0.9775171065493646,13800.0,15300.0,7175.0,11505.449657869012,3800.0,154200.0,0.02464332036316472,10750.0,8100.0
480,464,92,32,-1.5429122468659595,20400.0,23800.0,9600,16274.614271938284,10400.0,152700.0,0.06810740013097577,13200.0,9500.0
447,484,91,37,3.6168132942326494,10675.0,12800.0,8450.0,10935.361681329423,675.0,138150.0,0.004885993485342019,8150.0,7800.0
460,481,88,39,2.0388349514563107,17475.0,21200.0,9700,17073.203883495145,7475.0,146050.0,0.051181102362204724,9850.0,9650.0
464,486,75,39,2.144249512670565,15300.0,15725.0,8175.0,11876.388888888889,5300.0,154900.0,0.0342156229825694,9750.0,8600.0
463,493,70,30,2.9211295034079843,11250.0,12400.0,7900.0,10012.658227848102,1250.0,152100.0,0.00821827744904668,8500.0,7000.0
445,493,84,28,4.69208211143695,16400.0,19400.0,9200,15191.88660801564,6400.0,138600.0,0.046176046176046176,6600.0,5900.0
459,498,71,36,3.7900874635568513,13600.0,15350.0,5750.0,9447.837706511176,3600.0,143400.0,0.02510460251046025,7900.0,5650.0
457,465,101,27,0.78125,20750.0,22050.0,7200.0,14670.263671875,10750.0,152100.0,0.07067718606180144,10550.0,7300.0
449,501,73,34,5.078125,4275.0,11350.0,2125.0,6174.560546875,-5725.0,132850.0,-0.04309371471584494,6500.0,5650.0
487,448,97,42,-3.77541142303969,21950.0,22350.0,8850.0,14744.191674733785,11950.0,140050.0,0.08532666904676901,16000.0,9350.0
449,479,97,36,2.923976608187134,10850.0,12650.0,7400.0,9906.62768031189,850.0,147200.0,0.00577445652173913,8800.0,6550.0
429,490,105,35,5.951219512195122,2350.0,11600.0,1600.0,6239.804878048781,-7650.0,128450.0,-0.05955624756714675,5650.0,4600.0
437,485,101,35,4.6875,10275.0,12900.0,7000.0,9703.41796875,275.0,138100.0,0.0019913106444605358,6950.0,5650.0
435,490,90,36,5.413385826771654,8925.0,13700.0,2775.0,8981.545275590552,-1075.0,158500.0,-0.006782334384858044,6300.0,4250.0
460,479,86,37,1.8518518518518516,17900.0,18950.0,8600.0,11937.889863547758,7900.0,145900.0,0.05414667580534613,9950.0,8250.0
448,483,97,31,3.4013605442176873,9100.0,12300.0,6975.0,10093.221574344023,-900.0,137800.0,-0.006531204644412192,8050.0,7800.0
450,481,96,31,3.0155642023346303,8050.0,12150.0,7525.0,9784.727626459144,-1950.0,140250.0,-0.013903743315508022,8450.0,7400.0
453,487,90,41,3.2977691561590685,12650.0,15225.0,9075.0,12670.562560620756,2650.0,154350.0,0.017168772270813086,8650.0,7200.0
477,468,89,32,-0.8695652173913043,19125.0,19725.0,9900,14358.115942028986,9125.0,176550.0,0.05168507504956103,12500.0,9400.0
475,451,97,30,-2.34375,20325.0,20325.0,9075.0,13137.1337890625,10325.0,155500.0,0.06639871382636656,13900.0,7900.0
470,452,100,30,-1.7595307917888565,18725.0,19625.0,7200.0,11952.150537634408,8725.0,157200.0,0.055502544529262086,13300.0,7650.0
451,498,76,31,4.580896686159844,8050.0,11275.0,7875.0,9747.344054580897,-1950.0,136950.0,-0.014238773274917854,6850.0,6850.0
442,502,87,28,5.813953488372093,12100.0,13700.0,7500.0,10157.19476744186,2100.0,149950.0,0.014004668222740914,5400.0,4150.0
453,502,78,37,4.738878143133462,9275.0,14625.0,8050.0,11083.244680851063,-725.0,163500.0,-0.0044342507645259936,6950.0,6850.0
470,465,89,29,-0.4878048780487805,11750.0,14750.0,5350.0,10340.682926829268,1750.0,175800.0,0.009954493742889647,11950.0,7900.0
460,486,84,37,2.521823472356935,13225.0,16925.0,8875.0,13699.321047526673,3225.0,150400.0,0.02144281914893617,9250.0,8750.0
438,488,97,28,4.8828125,8875.0,11100.0,6250.0,8931.73828125,-1125.0,151550.0,-0.0074232926426921805,6400.0,6200.0
463,471,88,34,0.7820136852394917,14575.0,14925.0,9500,12044.354838709678,4575.0,159550.0,0.028674396740833594,10900.0,8350.0
439,486,94,38,4.6078431372549025,10425.0,14925.0,7850.0,11620.073529411764,425.0,147800.0,0.002875507442489851,7200.0,7200.0
433,513,71,36,7.858546168958743,2200.0,11650.0,875.0,6676.645383104125,-7800.0,141900.0,-0.05496828752642706,3800.0,2900.0
460,474,88,39,1.3685239491691104,11025.0,15100.0,7950.0,11618.768328445747,1025.0,150750.0,0.0067993366500829185,10550.0,9100.0
491,464,77,35,-2.6137463697967087,15300.0,16100.0,9500.0,12906.727976766699,5300.0,135800.0,0.0390279823269514,14450.0,9900
375,435,68,29,6.825938566552901,0.0,12200.0,0.0,7161.575654152446,-10000.0,135050.0,-0.07404664938911515,5450.0,5450.0
458,479,86,33,2.05078125,13125.0,17875.0,8525.0,11841.0888671875,3125.0,147150.0,0.02123683316343867,9550.0,6200.0
442,501,86,31,5.728155339805825,5100.0,10000,3575.0,6182.281553398058,-4900.0,159450.0,-0.03073063656318595,5650.0,5300.0
462,475,93,37,1.2609117361784674,13800.0,15550.0,8600.0,11997.76915615907,3800.0,140450.0,0.027055891776432896,10550.0,8450.0
430,498,94,29,6.647116324535679,7550.0,16750.0,6800.0,11555.791788856304,-2450.0,157750.0,-0.015530903328050714,4650.0,4450.0
457,479,90,27,2.142161635832522,12450.0,14750.0,5425.0,9987.414800389484,2450.0,143900.0,0.017025712300208478,9150.0,5850.0
464,462,101,36,-0.19455252918287938,14850.0,16350.0,8375.0,11361.089494163423,4850.0,156150.0,0.03105987832212616,12000.0,8700.0
461,474,98,28,1.2572533849129592,14175.0,15325.0,7700.0,10692.117988394584,4175.0,140700.0,0.029673063255152808,10100.0,6800.0
438,497,86,41,5.772994129158512,5725.0,13850.0,4275.0,9368.444227005872,-4275.0,147900.0,-0.028904665314401622,6150.0,5500.0
482,463,84,38,-1.8446601941747571,19100.0,19450.0,6500.0,11809.296116504855,9100.0,179350.0,0.05073877892389183,13800.0,8950.0
453,489,79,30,3.522504892367906,7950.0,12975.0,6150.0,10138.331702544032,-2050.0,147750.0,-0.013874788494077835,7900.0,6900.0
457,493,77,31,3.501945525291829,11600.0,14250.0,4650.0,9443.506809338522,1600.0,154100.0,0.010382868267358857,7950.0,5600.0
442,488,96,33,4.47906523855891,7625.0,15850.0,7150.0,11405.598831548199,-2375.0,167400.0,-0.014187574671445638,7050.0,6950.0
439,501,84,38,6.048780487804878,6475.0,10300,2475.0,6018.170731707317,-3525.0,145600.0,-0.024210164835164836,5700.0,3500.0
461,486,81,36,2.4295432458697768,14725.0,15875.0,9800,12451.846452866861,4725.0,137500.0,0.03436363636363637,9300.0,7850.0
434,485,96,31,5.019685039370079,4200.0,12250.0,4100.0,7678.494094488189,-5800.0,162100.0,-0.03578038247995065,6450.0,6350.0
449,487,87,47,3.7109375,9700.0,11625.0,3900.0,6963.96484375,-300.0,145800.0,-0.00205761316872428,8550.0,6950.0
461,467,97,36,0.5847953216374269,13475.0,15175.0,5900.0,10112.061403508771,3475.0,159850.0,0.021739130434782608,11200.0,8500.0
431,480,108,39,4.803921568627452,10750.0,13400.0,6150.0,10214.85294117647,750.0,177350.0,0.00422892585283338,7050.0,5650.0
465,461,92,38,-0.39254170755642787,13650.0,16000.0,6350.0,11688.174681059863,3650.0,133350.0,0.027371578552680915,12300.0,8500.0
441,499,87,33,5.642023346303502,6550.0,12300.0,3200.0,7578.550583657588,-3450.0,153350.0,-0.022497554613628953,5850.0,5550.0
467,468,91,34,0.09737098344693282,23300.0,23975.0,9800,17300.14605647517,13300.0,143200.0,0.09287709497206705,11600.0,9100.0
466,475,87,40,0.8746355685131195,11475.0,15000.0,8175.0,11559.110787172012,1475.0,149450.0,0.009869521579123453,11100.0,8850.0
451,498,77,36,4.576436222005842,14675.0,18025.0,9550.0,13561.830574488802,4675.0,152750.0,0.03060556464811784,7100.0,7100.0
452,458,110,30,0.5876591576885406,14625.0,17400.0,7250.0,12730.803134182175,4625.0,155700.0,0.02970456005138086,10900.0,7750.0
451,496,86,31,4.352030947775629,8125.0,10925.0,5275.0,8291.29593810445,-1875.0,137650.0,-0.013621503814021068,7050.0,5600.0
475,450,93,32,-2.4533856722276743,21125.0,24475.0,9900,18878.55740922473,11125.0,138800.0,0.08015129682997119,14100.0,9900
458,466,91,26,0.7874015748031495,10150.0,13750.0,6800.0,10162.007874015748,150.0,156800.0,0.0009566326530612245,10500.0,8850.0
468,471,85,33,0.2926829268292683,11250.0,17000.0,9900,12605.658536585366,1250.0,153400.0,0.008148631029986962,11350.0,9650.0
444,483,94,36,3.816046966731898,8025.0,13800.0,5875.0,9292.734833659491,-1975.0,140200.0,-0.014087018544935806,7900.0,6400.0
430,496,93,44,6.470588235294119,4150.0,11850.0,4000.0,8648.28431372549,-5850.0,146250.0,-0.04,5600.0,5450.0
464,480,77,28,1.5655577299412915,11075.0,13150.0,7000.0,9822.822896281801,1075.0,148150.0,0.007256159298008775,9800.0,7950.0
460,466,90,36,0.5899705014749262,13800.0,15100.0,8150.0,10960.963618485743,3800.0,145800.0,0.02606310013717421,11200.0,9350.0
450,491,90,36,3.9728682170542635,10100.0,15450.0,7150.0,10398.982558139534,100.0,172000.0,0.0005813953488372093,7700.0,6950.0
463,472,89,36,0.878048780487805,12175.0,15300.0,7600.0,11420.341463414634,2175.0,144900.0,0.015010351966873706,10900.0,8050.0
444,492,91,35,4.669260700389105,11125.0,13425.0,7525.0,9973.321984435797,1125.0,154250.0,0.007293354943273906,6950.0,5950.0
458,479,82,37,2.0588235294117645,9900.0,12700.0,6825.0,9765.735294117647,-100.0,150650.0,-0.0006637902422834385,9750.0,9000.0
467,459,97,40,-0.78125,19075.0,19175.0,8125.0,12699.7802734375,9075.0,149850.0,0.06056056056056056,12800.0,8800.0
463,491,71,41,2.729044834307992,8500.0,11400.0,4950.0,8535.623781676413,-1500.0,135900.0,-0.011037527593818985,9250.0,7450.0
443,501,81,39,5.653021442495127,5500.0,12100.0,3500.0,8494.103313840156,-4500.0,144850.0,-0.031066620642043494,6150.0,4800.0
449,489,87,37,3.898635477582846,4950.0,13750.0,2550.0,6974.8294346978555,-5050.0,153100.0,-0.03298497713912475,7850.0,5950.0
456,481,89,35,2.4342745861733204,11175.0,14550.0,9250.0,12183.42259006816,1175.0,139800.0,0.008404864091559371,9250.0,8850.0
457,473,96,29,1.557935735150925,17525.0,18375.0,7025.0,10725.754625121714,7525.0,155900.0,0.04826812059012187,9850.0,6600.0
444,494,82,32,4.897159647404505,3425.0,10900.0,875.0,5241.52791380999,-6575.0,158700.0,-0.04143037177063642,6600.0,5350.0
444,488,89,34,4.305283757338552,10725.0,13925.0,5975.0,8758.023483365949,725.0,147300.0,0.004921928038017651,7300.0,7050.0
467,464,99,46,-0.2909796314258002,9325.0,10850.0,5825.0,8359.723569350146,-675.0,135800.0,-0.004970544918998527,12600.0,7550.0
446,478,97,36,3.131115459882583,12425.0,14825.0,6550.0,11154.109589041096,2425.0,144800.0,0.016747237569060772,8600.0,8050.0
438,487,88,33,4.832347140039447,1250.0,12350.0,950.0,8310.355029585799,-8750.0,146050.0,-0.05991098938719617,6750.0,6200.0
228,312,66,19,13.838550247116968,0.0,10100,0.0,5821.499176276771,-10000.0,90300.0,-0.11074197120708748,2550.0,2450.0
454,485,97,34,2.9893924783027965,15275.0,15925.0,6350.0,11493.70781099325,5275.0,161050.0,0.03275380316671841,8600.0,7000.0
465,464,93,32,-0.09775171065493646,12225.0,18175.0,9800,14062.487781036169,2225.0,149800.0,0.014853137516688918,11700.0,9800
447,491,85,31,4.296875,7700.0,10700,5950.0,8140.8203125,-2300.0,128850.0,-0.01785021342646488,7150.0,5900.0
440,500,83,29,5.859375,2675.0,10850.0,2675.0,5160.44921875,-7325.0,137350.0,-0.05333090644339279,5450.0,5100.0
433,509,83,33,7.4074074074074066,8825.0,10450.0,5025.0,8000.779727095516,-1175.0,142600.0,-0.008239831697054698,4050.0,2500.0
433,507,90,38,7.177497575169737,5400.0,10900.0,3000.0,6383.365664403492,-4600.0,140400.0,-0.03276353276353276,4500.0,4150.0
449,475,98,39,2.541544477028348,14375.0,22300.0,7450.0,14723.36265884653,4375.0,158750.0,0.027559055118110236,9350.0,8700.0
460,468,96,34,0.7804878048780488,9575.0,10750.0,2650.0,6601.707317073171,-425.0,167700.0,-0.002534287418008348,10900.0,5900.0
454,479,93,33,2.4342745861733204,8950.0,13400.0,5850.0,9994.401168451801,-1050.0,159800.0,-0.006570713391739674,9150.0,7700.0
452,480,99,31,2.7131782945736433,8525.0,12950.0,7350.0,10011.070736434109,-1475.0,143850.0,-0.010253736531108794,8750.0,8150.0
450,506,77,39,5.415860735009671,9800.0,11750.0,4800.0,8507.809477756286,-200.0,158300.0,-0.0012634238787113076,6350.0,3250.0
442,492,89,29,4.8828125,7400.0,11700.0,7200.0,10015.283203125,-2600.0,126900.0,-0.02048857368006304,6450.0,6250.0
448,488,82,33,3.9254170755642788,12275.0,13025.0,4750.0,8618.400392541707,2275.0,140400.0,0.016203703703703703,7650.0,5150.0
471,489,69,42,1.7475728155339807,8475.0,10250.0,2950.0,6918.203883495145,-1525.0,164250.0,-0.00928462709284627,10300.0,7850.0
442,477,103,35,3.4213098729227758,8075.0,10900.0,5475.0,8563.831867057674,-1925.0,148050.0,-0.013002364066193853,8250.0,6350.0
464,481,89,37,1.6425120772946862,9925.0,12050.0,6300.0,8670.072463768116,-75.0,145650.0,-0.0005149330587023687,10150.0,5750.0
469,466,95,21,-0.2909796314258002,14700.0,17650.0,9900,13876.163918525703,4700.0,147500.0,0.031864406779661014,11350.0,9600.0
242,304,47,16,10.437710437710438,0.0,12050.0,0.0,6510.606060606061,-10000.0,91700.0,-0.10905125408942203,4600.0,4600.0
